codice,posizione,specie,varieta,alias,associazione,cod_loc,dimensionamento,dimensioni,qualita,data_ins,data_acq,mod_acq,acquisito_da,costo,luogo_acq,scambiato_per,note,referenza,descrizione,fluor_lw,fluor_sw,radioattivo,tl
1,undefined,Schorl,-,-,Quarzo,Skardu_01,Miniature,55x25x35,---,15/07/2008,02/06/2008,Asta Ebay,maxbel72,6,-,-,-,-,-,Not tested,No ,Not tested,0
2,undefined,Quartz,Calcedonio,-,-,India_01,Cabinet,100x70x50,---,15/07/2008,02/06/2008,Asta Ebay,maxbel72,6.02,-,-,-,-,-,Not tested,Not tested,Not tested,0
3,undefined,Axinite-(Fe),-,-,-,Skardu_01,Cabinet,90x50x50,---,15/07/2008,02/06/2008,Asta Ebay,maxbel72,6,-,-,-,-,-,Not tested,Not tested,Not tested,0
4,undefined,Titanite,-,-,-,Skardu_01,Cabinet,65x40x30,---,15/07/2008,02/06/2008,Asta Ebay,maxbel72,5,-,-,-,-,-,Not tested,Not tested,Not tested,0
5,undefined,Granati,-,-,-,Skardu_01,Cabinet,70x65x35,---,15/07/2008,02/06/2008,Asta Ebay,maxbel72,5,-,-,-,-,-,Not tested,Not tested,Not tested,0
6,undefined,Apatite,-,-,Quarzo,Skardu_01,Cabinet,75x30x60,---,15/07/2008,02/06/2008,Asta Ebay,maxbel72,5,-,-,-,-,-,Not tested,Not tested,Not tested,0
7,undefined,Roselite,-,-,-,BouAzzer_01,Cabinet,35x35x35,AA,15/07/2008,22/04/2008,Asta Ebay,ascomicete,10.5,-,-,-,-,-,Not tested,Not tested,Not tested,0
8,undefined,Crocoite,-,-,-,Dundas_01,Cabinet,70x40x30,---,15/07/2008,22/04/2008,Asta Ebay,ascomicete,12.5,-,-,-,-,-,Not tested,Not tested,Not tested,0
9,undefined,Pyromorphite,-,-,-,HuNan_01,Cabinet,75x35x25,---,15/07/2008,22/04/2008,Asta Ebay,ascomicete,15.5,-,-,-,-,-,Not tested,Not tested,Not tested,0
10,undefined,Sulfur,-,-,-,Sicilia_01,Cabinet,70x60x50,---,15/07/2008,22/04/2008,Asta Ebay,ascomicete,6.5,-,-,-,-,-,Not tested,Not tested,Not tested,0
11,undefined,Baryte,-,-,Quarzo ialino,Brembana_01,Cabinet,150x90x40,---,15/07/2008,22/04/2008,Asta Ebay,ascomicete,2.49,-,-,-,-,-,Not tested,Not tested,Not tested,0
12,undefined,Artinite,-,-,Matrice ofiolitica,Valtaro_01,Cabinet,90x60x40,---,16/07/2008,22/04/2008,Asta Ebay,ascomicete,3.05,-,-,-,-,-,Not tested,Not tested,Not tested,0
13,undefined,Cerussite,-,-,Baryte rosa fluorescente,BouAzzer_01,Cabinet,100x50x40,---,16/07/2008,22/04/2008,Asta Ebay,ascomicete,14.5,-,-,-,-,-,Not tested,Not tested,Not tested,0
14,vetrina,Fluorite,-,-,-,HuNan_01,Cabinet,70x60x30,---,16/07/2008,22/04/2008,Asta Ebay,ascomicete,8.6,-,-,-,-,-,Not tested,Not tested,Not tested,0
15,undefined,Fluorite,-,-,Pirite,GanSu_01,Cabinet,120x40x40,---,16/07/2008,22/04/2008,Asta Ebay,ascomicete,7.65,-,-,-,-,-,Not tested,Not tested,Not tested,0
16,undefined,Epidote,-,-,Quarzo,Graveglia_01,Cabinet,70x70x50,---,16/07/2008,22/04/2008,Asta Ebay,ascomicete,5.49,-,-,-,-,-,Not tested,Not tested,Not tested,0
17,undefined,Wavellite,-,-,-,Pencil_01,Miniature,45x25x25,---,16/07/2008,22/04/2008,Asta Ebay,ascomicete,7.5,-,-,-,-,-,Not tested,Not tested,Not tested,0
18,undefined,Brookite,-,-,-,Pakistan,Cabinet,70x50x40,---,16/07/2008,29/04/2008,Asta Ebay,ascomicete,7.16,-,-,-,-,-,Not tested,Not tested,Not tested,0
19,undefined,Prehnite,-,-,-,Agordo_01,Cabinet,90x80x60,---,16/07/2008,29/04/2008,Asta Ebay,ascomicete,11.48,-,-,-,-,-,Not tested,Not tested,Not tested,0
20,undefined,Sphalerite,-,Blenda -  Sfalerite,-,SanGiovanni_01,Cabinet,50x30x40,---,16/07/2008,29/04/2008,Asta Ebay,ascomicete,12.5,-,-,-,-,-,Not tested,Not tested,Not tested,0
21,undefined,Calcite,-,-,-,Morfasso_01,Cabinet,100x70x70,---,16/07/2008,22/04/2008,Asta Ebay,ascomicete,2.5,-,-,-,-,-,Not tested,Rossa,Not tested,0
22,undefined,Calcite,-,-,Siderite,Traversella_01,Cabinet,-,---,16/07/2008,29/04/2008,Donato,ascomicete,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
23,undefined,Aragonite,-,-,Idromagnesite,Valtaro_01,Cabinet,180x140x110,---,16/07/2008,22/04/2008,Asta Ebay,ascomicete,7.65,-,-,-,-,-,Not tested,Not tested,Not tested,0
24,C01,Aluminotaipingite-(CeCa),-,-,-,Montoso_01,Tipo 4,-,A,14/10/2008,12/10/2008,Donato,Beppe Finello,0,-,-,-,-,-,Not tested,Not tested,Not tested,1
25,undefined,Wulfenite,-,-,-,Montoso_01,Micro,-,---,14/10/2008,12/10/2008,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
26,undefined,Fluorite,-,-,-,Montoso_02,Micro,-,---,14/10/2008,12/10/2008,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
27,undefined,Zeunerite,-,-,-,Montoso_02,Micro,-,---,14/10/2008,12/10/2008,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
28,undefined,Parauranophane,-,-,-,Montoso_02,undefined,-,---,14/10/2008,12/10/2008,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
29,vetrina,Azurite,-,-,-,Corna_01,Micro,-,---,14/10/2008,29/06/2008,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
30,undefined,Azurite,-,-,Tetraedrite,Corna_01,Micro,-,---,15/10/2008,29/06/2008,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
31,undefined,Goethite,-,-,-,Corna_02,undefined,-,---,15/10/2008,13/07/2008,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
32,C01,Epidote,-,-,"""granato""-""clorite""-diopside",Falin_01,Tipo 1,-,A,15/10/2008,22/06/2008,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
33,C01,Hellandite-(Y),-,-,quarzo - albite,Luserna_01,Tipo 1,-,AA,30/11/2008,22/11/2008,Raccolto personalmente,B. Finello - P. Ambrino - Bruno - Claudio,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
34,undefined,Anatase,-,-,-,Luserna_01,Micro,-,---,30/11/2008,00/00/0000,undefined,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
35,undefined,Fluorite,-,-,-,Luserna_01,Micro,-,---,30/11/2008,00/00/0000,undefined,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
36,undefined,Olivenite,-,-,-,Grube_01,Micro,-,---,30/11/2008,15/02/2009,Scambiato,Paolo Grosso,0,Genova,Anatasi,-,-,-,Not tested,Not tested,Not tested,0
37,undefined,Cornwallite,-,-,-,Grube_01,Micro,-,---,22/02/2009,15/02/2009,Scambiato,Paolo Grosso,0,Genova,Anatasi,-,-,-,Not tested,Not tested,Not tested,0
38,C01,Scheuchzerite,-,-,-,Gambatesa_01,Tipo 4,-,A,22/02/2009,11/12/2008,Donato,Bruno Marello,0,APMP,-,-,-,-,Not tested,Not tested,Not tested,0
39,C01,Tungstenite,-,-,-,Crevola_01,Tipo 32h,-,A,07/07/2009,05/07/2009,Scambiato,Adrio Salvetti,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
40,C01,Ankerite,-,-,Rutilo,Fiorina_01,Tipo 1,-,A,07/07/2009,05/07/2009,Scambiato,Adrio Salvetti,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
41,C01,Semseyite,-,-,siderite,Borgofranco_01,Tipo 4,-,A,07/07/2009,05/07/2009,Scambiato,Adrio Salvetti,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
42,C01,Cerussite,-,-,malachite - siderite,Brosso_01,Tipo 4,-,B,07/07/2009,05/07/2009,Scambiato,Adrio Salvetti,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
43,C01,Clinochlore,Pennina,-,-,Veglia_01,Tipo 4,-,B,07/07/2009,05/07/2009,Scambiato,Adrio Salvetti,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
44,C01,Mimetite,-,-,-,Balangero_01,Tipo 1,-,A,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,Traversella,-,Analisi: EDS,-,-,Not tested,Not tested,Not tested,0
45,C01,Corundum,-,-,-,Babbiera_01,Tipo 1,-,B,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
46,C01,Diopside,-,-,hessonite - clinochlore,Sbiasere_01,Tipo 1,-,AA,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
47,C01,Annite,-,-,-,Blanche_01,Tipo 1,-,B,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,Traversella,-,Analisi: XRD,-,-,Not tested,Not tested,Not tested,0
48,C01,Aeschynite-(Y),-,CAMPIONE DA MIGLIORARE!!!,anatasio,Triolet_01,Tipo 1,-,C,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
49,C01,Anatase,-,-,-,Triolet_01,Tipo 1,-,A,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
50,C01,Glaucophane,-,-,-,Beaume_01,Tipo 1,-,B,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
51,C01,Columbite-(Fe),-,-,-,Sabbiola_01,Tipo 1,-,B,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
52,C01,Fluorapophyllite-(K),-,-,-,Traversella_01,Tipo 1,-,A,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,Traversella,-,Livello 826,-,-,Not tested,Not tested,Not tested,0
53,C01,Spinel,-,-,-,Traversella_01,Tipo 1,-,A,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
54,C01,Goethite,-,-,-,Brosso_01,Tipo 1,-,A,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,Traversella,-,Livello Salvere,-,-,Not tested,Not tested,Not tested,0
55,C01,Mimetite,-,-,-,Balangero_01,Tipo 1,-,A,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,Traversella,-,Analisi: EDS,-,-,Not tested,Not tested,Not tested,0
56,C01,Parasymplesite,-,-,-,Corna_02,Tipo 1,-,B,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
57,C01,Todorokite,-,-,opale,Baldissero_01,Tipo 1,-,B,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
58,C01,Aeschynite-(Y),-,-,anatasio,Miage_01,Tipo 1,-,A,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
59,C01,Molybdenite,-,-,chalcopyrite,Traversella_01,Tipo 1,-,AA,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
60,C01,Löllingite,-,-,-,Corna_02,Tipo 1,-,B,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,Traversella,-,Analisi: SEM,-,-,Not tested,Not tested,Not tested,0
61,C01,Ferrimolybdite,-,-,Molybdenhite,Machetto_01,Tipo 1,-,B,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
62,C01,Perovskite,-,-,magnetite,Sella_01,Tipo 1,-,A,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
63,C01,Graphite,-,-,-,Ravinella_01,Tipo 1,-,A,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
64,C01,Adamite,-,-,-,Ojuela_01,Tipo 1,-,A,07/07/2009,05/07/2009,Donato,Luca Delpiano,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
65,C01,Mimetite,-,-,-,Ojuela_01,Tipo 1,-,A,07/07/2009,05/07/2009,Donato,Luca Delpiano,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
66,C01,Stolzite,-,-,mimetite,Grube_01,Tipo 1,-,A,07/07/2009,05/07/2009,Donato,Luca Delpiano,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
67,C01,Cobaltite,-,-,-,Traversella_01,Tipo 1,-,A,07/07/2009,05/07/2009,Donato,Luca Delpiano,0,Traversella,-,Livello 860,-,-,Not tested,Not tested,Not tested,0
68,C01,Olivenite,-,-,-,Grube_01,Tipo 4,-,AA,07/07/2009,05/07/2009,Donato,Luca Delpiano,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
69,C01,Mimetite,-,-,-,Ojuela_01,Tipo 1,-,A,07/07/2009,05/07/2009,Donato,Luca Delpiano,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
70,C01,Svanbergite,-,-,dolomite - siderite - pirite,Brosso_01,Tipo 1,-,A,07/07/2009,05/07/2009,Raccolto personalmente,-,0,-,-,Livello Giariniere,-,Svanbergite: cubetti trasparenti giallo-bruni,Not tested,Not tested,Not tested,0
71,C01,Synchysite,-,-,anatasio,Crodo_01,Tipo 1,-,A,07/07/2009,05/07/2009,Scambiato,Adrio Salvetti,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
72,C01,Baryte,-,-,pirite - siderite,Brosso_01,Tipo 4,-,AA,07/07/2009,05/07/2009,Scambiato,Adrio Salvetti,0,Traversella,-,Livello Giariniere,-,-,Not tested,Not tested,Not tested,0
73,C01,Pyrrhotite,troilite,-,opale,Balangero_01,Tipo 1,-,C,07/07/2009,05/07/2009,Donato,Piero Ambrino,0,Traversella,-,Analisi: RX,-,-,Not tested,Not tested,Not tested,0
74,C01,Berthierine,-,-,dolomite ,Brosso_01,Tipo 1,-,A,07/07/2009,05/07/2009,Donato,Luca Delpiano,0,Traversella,-,Livello Salvere,-,-,Not tested,Not tested,Not tested,0
75,C01,Arsenic,-,-,-,Brosso_01,Tipo 32h,-,C,07/07/2009,05/07/2009,Donato,Luca Delpiano,0,Traversella,-,raccolto in discarica nel 1982,-,-,Not tested,Not tested,Not tested,0
76,C01,Erythrite,-,-,-,Corna_02,Tipo 1,-,A,07/07/2009,05/07/2009,Scambiato,G. Dalla Fontana,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
77,C01,Whitmoreite,-,-,-,Blaton_01,Tipo 1,-,A,07/07/2009,05/07/2009,Scambiato,Tiberio Bardi,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
78,C01,Ferristrunzite,-,-,-,Blaton_01,Tipo 1,-,B,07/07/2009,05/07/2009,Scambiato,-,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,1
79,C01,Cacoxenite,-,-,-,Blaton_01,Tipo 1,-,C,07/07/2009,05/07/2009,Scambiato,-,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
80,C01,Hydrokenoralstonite,-,-,-,Cetine_01,Tipo 1,-,A,07/07/2009,05/07/2009,Scambiato,Tiberio Bardi,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
81,C01,Cetineite,-,-,-,Cetine_01,Tipo 1,-,AA,07/07/2009,05/07/2009,Scambiato,Tiberio Bardi,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,1
82,C01,Jarosite,-,-,-,Cetine_01,Tipo 32h,-,A,07/07/2009,05/07/2009,Scambiato,Tiberio Bardi,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
83,C01,Peretaite,-,-,-,Pereta_01,Tipo 32h,-,B,07/07/2009,05/07/2009,Scambiato,Tiberio Bardi,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,1
84,C01,Klebelsbergite,-,-,-,Pereta_01,Tipo 32h,-,A,07/07/2009,05/07/2009,Scambiato,Tiberio Bardi,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
85,C01,Klebelsbergite,-,-,-,Pereta_01,Tipo 32h,-,A,07/07/2009,05/07/2009,Scambiato,Tiberio Bardi,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
86,C01,Geocronite,-,-,-,Borgofranco_01,Tipo 32h,-,B,07/07/2009,05/07/2009,Scambiato,G. Dalla Fontana,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
87,C01,Pyrargyrite,-,-,-,Borgofranco_02,Tipo 32h,-,A,07/07/2009,05/07/2009,Scambiato,G. Dalla Fontana,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
88,C01,Freibergite Subgroup,-,-,-,Borgofranco_02,Tipo 32h,-,B,07/07/2009,05/07/2009,Scambiato,G. Dalla Fontana,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
89,C01,Miargyrite,-,-,-,Borgofranco_02,Tipo 32h,-,B,07/07/2009,05/07/2009,Scambiato,G. Dalla Fontana,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
90,C01,Semseyite,-,-,-,Borgofranco_01,Tipo 32h,-,A,07/07/2009,05/07/2009,Scambiato,G. Dalla Fontana,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
91,C01,Fizélyite,-,-,-,Borgofranco_02,Tipo 32h,-,A,07/07/2009,05/07/2009,Scambiato,G. Dalla Fontana,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
92,C01,Mimetite,-,-,quarzo,Borgofranco_02,Tipo 32h,-,B,07/07/2009,05/07/2009,Scambiato,G. Dalla Fontana,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
93,C01,Vivianite,-,-,-,Castelnuovo_01,Tipo 1,-,A,07/07/2009,05/07/2009,Scambiato,Tiberio Bardi,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
94,C01,Chalcanthite,-,-,-,Temperino_01,Tipo 1,-,AA,08/07/2009,05/07/2009,Scambiato,Tiberio Bardi,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
95,C01,Azurite,chessylite,-,-,Chessy_01,Tipo 32h,-,A,08/07/2009,05/07/2009,Scambiato,-,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,1
96,C01,Smithsonite,-,-,crisocolla - malachite,Chessy_01,Tipo 32h,-,B,08/07/2009,05/07/2009,Scambiato,-,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
97,C01,Melanophlogite,-,-,-,Fortullino_01,Tipo 32h,-,A,08/07/2009,05/07/2009,Donato,Tiberio Bardi,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
98,C01,Melanophlogite,-,-,magnesite,Fortullino_01,Tipo 32h,-,A,08/07/2009,05/07/2009,Scambiato,P. Gianinoni,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
99,C01,Cerchiaraite-(Mn),-,-,Orientite,Cerchiara_01,Tipo 4,-,AA,08/07/2009,07/02/2009,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,1
100,C01,Kutnohorite,-,-,-,Levane_01,Tipo 1,-,AA,08/07/2009,05/07/2009,Scambiato,Tiberio Bardi,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
101,C01,Dawsonite,-,-,-,Orciatico_01,Tipo 32h,-,B,08/07/2009,05/07/2009,Scambiato,Tiberio Bardi,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
102,C01,Pellouxite,-,-,-,Vena_01,Tipo 32h,-,C,08/07/2009,05/07/2009,Scambiato,Tiberio Bardi,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,1
103,C01,Perovskite,-,-,-,Condove_01,Tipo 4,-,A,08/07/2009,05/07/2009,Scambiato,-,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
104,C01,Cuprosklodowskite,-,-,-,Musonoi_01,Tipo 32h,-,B,08/07/2009,05/07/2009,Scambiato,Tiberio Bardi,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
105,C01,Polybasite,VERIFICARE!!!,-,acantite - argento,Imiter_01,Tipo 1,-,---,08/07/2009,05/07/2009,Donato,Luca Delpiano,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
106,C01,Ardennite-(V),-,-,Ardennite-(As),Varenche_01,Tipo 1,-,C,08/07/2009,00/00/0000,Donato,Piero Ambrino,0,-,-,Analisi: EDS - SX - XRD,-,-,Not tested,Not tested,Not tested,0
107,C02,Volborthite,-,-,-,Molinello_01,Tipo 1,-,A,08/07/2009,00/00/0000,Donato,Piero Ambrino,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
108,C02,Vanadiocarpholite,-,-,Volborthite,Molinello_01,Tipo 32h,-,A,08/07/2009,00/00/0000,Donato,Piero Ambrino,0,-,-,-,-,-,Not tested,Not tested,Not tested,1
109,C02,Molinelloite,-,-,vanadiocarpholite,Molinello_01,Tipo 32h,-,B,08/07/2009,00/00/0000,Donato,Piero Ambrino,0,-,-,-,-,-,Not tested,Not tested,Not tested,1
110,C02,Namansilite,-,-,-,Cerchiara_01,Tipo 1,-,A,08/07/2009,00/00/0000,Donato,Piero Ambrino,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
111,C02,Masutomilite,VERIFICARE!!! NON SEGNALATA,-,-,Cerchiara_01,Tipo 1,-,---,08/07/2009,00/00/0000,Donato,Piero Ambrino,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
112,C02,Ellenbergerite,-,-,-,Paris_01,Tipo 1,-,AA,08/07/2009,00/00/0000,Donato,Beppe Finello,0,-,-,-,-,-,Not tested,Not tested,Not tested,1
113,C02,Ardennite-(V),-,-,piemontite,Feilongo_01,Tipo 1,-,C,08/07/2009,00/00/0000,Donato,Piero Ambrino,0,Genova,-,-,-,-,Not tested,Not tested,Not tested,1
114,C02,Phosphoellenbergerite,-,-,-,Bernardo_01,Tipo 32h,-,AA,08/07/2009,00/00/0000,Donato,Beppe Finello,0,-,-,-,-,-,Not tested,Not tested,Not tested,1
115,C02,Magnesiostaurolite,-,-,-,Pratolugo_01,Tipo 1,-,A,08/07/2009,00/00/0000,Donato,Beppe Finello,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
116,C02,Magnesiodumortierite,-,-,-,Pratolugo_01,Tipo 1,-,B,08/07/2009,00/00/0000,Donato,Beppe Finello,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
117,C02,Vanadinite,Endlichite,-,calcite,Carlos_01,Tipo 1,-,AA,08/07/2009,05/07/2009,Donato,Luca Delpiano,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
118,C02,Aurichalcite,-,-,-,Serrabottini_01,Tipo 32h,-,C,08/07/2009,05/07/2009,Scambiato,P. Gianinoni,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
119,C02,Aurichalcite,-,-,smithsonite,Serrabottini_01,Tipo 32h,-,C,08/07/2009,05/07/2009,Scambiato,-,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
120,C02,Jeremejevite,VERIFICARE!!!,-,-,Eifel_01,Tipo 32h,-,---,08/07/2009,05/07/2009,Scambiato,Tiberio Bardi,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
121,C02,Plumbojarosite,-,-,-,Suvereto_01,Tipo 1,-,A,08/07/2009,05/07/2009,Scambiato,-,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
122,C02,Ferrihydrite,-,-,-,Suvereto_01,Tipo 32h,-,A,08/07/2009,05/07/2009,Scambiato,-,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
123,C02,Ankerite,-,-,marcassite - rutilo (?) - mica,Devero_01,Tipo 1,-,A,08/07/2009,05/07/2009,Scambiato,Carloni,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
124,C02,Covellite,-,-,-,Borgofranco_02,Tipo 1,-,B,08/07/2009,05/07/2009,Scambiato,Adrio Salvetti,0,Traversella,-,-,-,-,Not tested,Not tested,Not tested,0
125,C02,Arseniopleite,-,-,manganberzeliite,Varenche_01,Tipo 1,-,A,08/07/2009,31/05/2009,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
126,C02,Hydroxyapophyllite-(K),-,-,-,Cerchiara_01,Tipo 4,-,A,08/07/2009,07/02/2009,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
127,C02,Stilbite-Ca,-,-,-,Luserna_02,Tipo 4,-,A,10/07/2009,23/05/2009,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
128,C02,Tinzenite,-,-,-,Gambatesa_01,Tipo 4,-,A,10/07/2009,01/01/2009,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
129,C02,Agardite-(Y),-,-,-,Montoso_02,Tipo 4,-,B,10/07/2009,01/04/2009,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
130,C02,Sugilite,-,-,-,Cerchiara_01,Tipo 4,-,B,10/07/2009,01/01/2009,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
131,C02,Pectolite,-,-,Namansilite,Cerchiara_01,Tipo 4,-,B,10/07/2009,01/01/2009,Raccolto personalmente,-,0,-,-,"Namansilite: cristalli bruno-rossi
Pectolite: bianca",-,-,Not tested,Not tested,Not tested,0
132,C02,Zeunerite,-,-,-,Montoso_02,Tipo 4,-,A,10/07/2009,01/04/2009,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
133,C02,Fluorite,-,-,-,Montoso_02,Tipo 4,-,AA,10/07/2009,10/07/2008,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
135,C02,Cerchiaraite-(Mn),-,-,-,Cerchiara_01,Tipo 4,-,AA,10/07/2009,01/02/2009,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,1
136,C02,Stilbite-Ca,-,-,-,Luserna_02,Tipo 4,-,AA,10/07/2009,23/05/2009,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
137,C02,Laumontite,-,-,-,Luserna_02,Tipo 4,-,A,10/07/2009,23/05/2009,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
138,C02,Orientite,-,-,-,Cerchiara_01,Tipo 1,-,AA,10/07/2009,01/01/2009,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
139,C02,Namansilite,-,-,Pectolite,Cerchiara_01,Tipo 1,-,C,10/07/2009,01/03/2009,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
140,C02,Ganophyllite,-,-,-,Gambatesa_01,Tipo 1,-,A,10/07/2009,01/01/2009,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
141,C02,Macfallite,-,-,-,Cerchiara_01,Tipo 1,-,A,10/07/2009,01/03/2009,Raccolto personalmente,-,0,-,-,-,-,-,Not tested,Not tested,Not tested,0
