cod_loc	cava_min	loc_monte	valle 	comune	distr_pref	provincia	regione	dipartimento	stato	nazione	note	cod_mindat
Babbiera_01		Ponte di Babbiera	Val Séssera	Trivero		Biella	Piemonte			Italia		123149
Baccu_01	Miniera Baccu Locci, Villaputzu			Villaputzu		Cagliari	Sardegna			Italia		5553
Baceno_01				Baceno		Verbano-Cusio-Ossola	Piemonte			Italia		13690
Bachman_01	Bachman Mine, Hellertown, Lower Saucon Township, Northampton Co., Pennsylvania									U.S.A.		4095
Bagattei_01		Contrada Bagattei, Vestenanuova, Verona province, Veneto		Vestenuova		Verona	Veneto			Italia		188923
Baggero_01	Cava di Baggero		Valle del Lambro	Merone		Como	Lombardia			Italia		
Bagni_01		Sant'Andrea Bagni		Medesano		Parma	Emilia Romagna			Italia		135354
Baia_Sprie_01		Baia Sprie (Felsöbánya),  Maramures Co.								Romania		14252
Balangero_01	Miniera di amianto di Poggio San Vittore		Valle di Lanzo	Balangero/Corio		Torino	Piemonte			Italia		2110
Baldissero_01	Bettolino			Baldissero Canavese	Canavese	Torino	Piemonte			Italia		4389
Balzi_01		Costa Balzi Rossi	Val Maremola	Magliolo		Savona	Liguria			Italia		127224
Bambolla_01	Moctezuma Mine (Bambolla Mine), Moctezuma, Mun. de Moctezuma, Sonora									Mexico		2356
Barbara_01	Santa Barbara lignite District		Valdarno	Cavriglia		Arezzo	Toscana			Italia		30830
Barbara_02	Miniera di Santa barbara	Isolagrande		Murialdo		Savona	Liguria			Italia		4358
Barbouilleurs_01	Barbouilleurs Mine, Dumbéa, Southern Province, New Caledonia									Francia		26371
Bardi_01		Località Diamanti, Bardi	Val Ceno	Varano de Melegari		Parma	Emilia Romagna			Italia		
Bardot_01		Case Bardot, Fomarco	Val Marmazza, Val d'Ossola	Pieve Vergonte		Verbano-Cusio-Ossola	Piemonte			Italia		105688
Basalt_01	Basalt quarry	Pauliberg, Kobersdorf, Oberpullendorf, Burgenland								Austria		57810
Bassano_01		Fosso dei Greti		Bassano Romano		Viterbo	Lazio			Italia		134634
Bastenberg_01	Bastenberg Mine, Ramsbeck, Meschede, Sauerland, North Rhine-Westphalia									Germany		1853
Bastnas_01	Bastnäs Mines, Riddarhyttan, Skinnskatteberg, Västmanland County									Svezia		3184
Baveno_01	Cava Seula (ex Locatelli)	Oltrefiume, Monte Camoscio		Baveno		Verbano-Cusio-Ossola	Piemonte			Italia		2103
Bayerland_01	Bayerland Mine, Pfaffenreuth, Waldsassen, Oberpfälzer Wald, Upper Palatinate, Bavaria									Germany		1771
Bazhenovskoe_01	Bazhenovskoe deposit, Asbest, Ekaterinburgskaya (Sverdlovskaya) Oblast', Middle Urals, Urals Region									Russia		2714
Beaume_01		La Beaume	Val di Susa	Oulx		Torino	Piemonte			Italia		192616
Beauvoir_01	Carrière de Beauvoir			Échassières, Ébreuil	Allier			Auvergne		Francia		45991
Becca_Arnas_01		Becca d'Arnas	Vallone d'Arnas, Val d'Ala, Valli di Lanzo	Balme		Torino	Piemonte			Italia		253258
Beigua_01		Monte Beigua		Varazze		Savona	Liguria			Italia		54862
Belforte_01		Rio del Bastardo, Belforte		Borgo Val Taro		Parma	Emilia Romagna			Italia		
Bellecombe_01		Bellecombe		Chatillon			Valle d'Aosta			Italia		4363
Bellegarda_01	Miniera Bellagarda		Valle dell'Orco	Ceresole 		Torino	Piemonte			Italia		16337
Bellver_01		Bellver de Cerdanya		Cerdanya	Lleida		Catalonia			Spagna		3118
Belmont_01		Belmont Mountain,  Tonopah,  Osborn District,  Big Horn Mts,  Maricopa Co.							Arizona	U.S.A.		31809
Benallt_01	Benallt Mine (Tyddyn Meirion mine; Ty Canol mine), Rhiw, Aberdaron, Gwynedd, Wales									Regno Unito		4251
Benedetto_01	Miniera San Benedetto			Iglesias		Carbonia-Iglesias	Sardegna			Italia		30960
Benetutti_01				Benetutti		Sassari	Sardegna			Italia		361066
Beni_01		Monte Beni, passo Raticosa		Firenzuola		Firenze	Toscana			Italia		
Benito_01	San Benito Co., California, USA											3279
Benot_01		Pian Benot	Val di Viù - Valli di Lanzo	Usseglio		Torino	Piemonte			Italia		
Berezovsk_01	Berezovsk Mines, Berezovskii, Ekaterinburg, Sverdlovskaya Oblast', Middle Urals									Russia		32728
Bernardo_01		San Bernardo, Massiccio Dora Maira	Vallone di Gilba, Val Varaita	Brossasco		Cuneo	Piemonte			Italia		62936
Berta_01	Berta quarry and mine, Sant Cugat del Vallès-El Papiol, Vallès Occidental-Baix Llobregat, Barcelona, Catalonia									Spagna		6997
Bessanese_01		Ghiacciaio della Bessanese	Val d'Ala - Valli di Lanzo	Balme		Torino	Piemonte			Italia		186764
Beth_01	Miniere del Beth		Val Troncea	Pragelato - Massello		Torino	Piemonte			Italia		190469
Bettolino_01		Bettolino		Baldissero Canavese		Torino	Piemonte			Italia		4389
Beura_01	Cava di Beura		Val d'Ossola	Beura-Cardezza		Verbano-Cusio-Ossola	Piemonte			Italia		132752
Biachella_01		Valle Biachella, Sacrofano, Caldera di Sacrofano				Roma	Lazio			Italia		26476
Biancavilla_01		Monte Calvario		Biancavilla		Catania	Sicilia			Italia		29741
Bibbona_01	Campo di Sasso			Bibbona		Livorno	Toscana			Italia		13710
Biccia_01	Miniera della Biccia			Voltaggio		Alessandria	Piemonte			Italia		30694
Bigadic_01				Bigadiç		Balikesir	Marmara Region			Turchia		25728
BigBertha_01	Big Bertha Mine (Veta Grande Mine; Veta Grande claim; Crystal Caverns claim; Big Bertha Extension Mine),  Middle Camp-Oro Fino District,  Dome Rock Mts					La Paz Co.			Arizona	U.S.A.		21738
Bihain_01	Bihain, Vielsalm, Stavelot Massif, Luxembourg Province									Belgio		12269
Bilina_01	Bílina coal mine, Bílina, Ústí Region, Bohemia									Repubblica Ceca		47692
